name,description,price,stock
denosumab,Osteoporosis,2.7,337
lithium,Bipolar Disorder,7.3,334
Abilify,Bipolar Disorder,5.5,332
Prolia,Osteoporosis,2.7,332
Ativan,Anxiety,8.1,330
Differin,Acne,6,329
Vraylar,Bipolar Disorder,5.6,328
Abilify,Depression,6.4,324
thyroid desiccated,Hypothyroidism,5,317
rizatriptan,Migraine,8.3,314
Lunesta,Insomnia,5.8,313
evolocumab,Cholesterol,4.3,311
Repatha,Cholesterol,4.3,307
doxepin,Insomnia,5.7,303
Wellbutrin XL,Depression,7.4,301
Cymbalta,Anxiety,6.4,295
hydromorphone,Pain,8,292
empagliflozin,Diabetes (Type 2),5.3,290
olanzapine,Bipolar Disorder,6.2,289
ziprasidone,Bipolar Disorder,5.6,288
paroxetine,Depression,6.5,287
paliperidone,Schizophrenia,4.1,283
Jardiance,Diabetes (Type 2),5.3,278
hyaluronan,Osteoarthritis,6,275
Duac,Acne,7.3,274
diclofenac,Pain,6.9,274
metoprolol,Hypertension,5.1,271
Nucynta,Pain,6.2,270
amitriptyline,Insomnia,7.1,267
Yaz,Acne,6.7,267
dexmethylphenidate,ADHD,6.3,266
divalproex sodium,Bipolar Disorder,6.4,265
Bydureon,Diabetes (Type 2),6.4,265
canagliflozin,Diabetes (Type 2),5.9,265
Paxil,Anxiety,7.2,264
guanfacine,ADHD,5.8,257
Invokana,Diabetes (Type 2),5.8,257
omeprazole,GERD (Heartburn),4.7,257
Bactrim,UTI,4.4,257
pantoprazole,GERD (Heartburn),4.6,254
metformin,Diabetes (Type 2),5.9,253
dapsone,Acne,7.3,252
Dilaudid,Pain,8.2,245
amitriptyline,Pain,7.7,244
zoledronic acid,Osteoporosis,4.8,244
polyethylene glycol 3350,Constipation,7.3,243
asenapine,Bipolar Disorder,7.1,243
nebivolol,Hypertension,6,243
atorvastatin,Cholesterol,4.2,243
Euflexxa,Osteoarthritis,6.2,242
Geodon,Bipolar Disorder,5.5,236
Effexor XR,Anxiety,6.9,233
hylan g-f 20,Osteoarthritis,6.2,230
levetiracetam,Seizures,5.9,230
Viagra,Erectile Dysfunction,8.5,227
Aczone,Acne,7.4,227
magnesium hydroxide,Constipation,8.5,225
topiramate,Weight Loss,7.4,225
Saphris,Bipolar Disorder,7.2,223
acetaminophen / aspirin / caffeine,Migraine,7,220
Durolane,Osteoarthritis,4.2,217
oxymorphone,Pain,7.9,216
levocetirizine,Allergies,4.7,213
Bystolic,Hypertension,6.2,212
doxylamine,Insomnia,6.5,210
Adderall XR,ADHD,7.9,207
montelukast,Hayfever,5,204
tramadol,Depression,9.2,198
meloxicam,Osteoarthritis,6.8,198
cetirizine,Hayfever,5.4,196
montelukast,Asthma,5.2,195
Valium,Anxiety,8.8,194
OxyContin,Pain,8.8,194
dextroamphetamine,ADHD,8.3,194
dexlansoprazole,GERD (Heartburn),6.4,194
sulfamethoxazole / trimethoprim,Acne,7.7,193
Yasmin,Acne,6.4,193
acetaminophen / codeine,Pain,4.4,193
Paxil,Depression,6.4,192
diclofenac,Pain,7.1,190
quetiapine,Depression,6.4,189
rosuvastatin,Cholesterol,5,189
azithromycin,Bronchitis,6.2,188
hydrocodone,Pain,5.5,188
metoclopramide,Migraine,3.4,188
clonazepam,Insomnia,7.2,187
ethinyl estradiol / norethindrone,Acne,3.8,187
Percocet,Pain,8.7,186
dupilumab,Eczema,6.6,186
esomeprazole,GERD (Heartburn),5.5,186
Orthovisc,Osteoarthritis,6.3,185
Bactrim DS,UTI,5.1,185
clindamycin / tretinoin,Acne,7.6,183
MiraLAX,Constipation,7.3,182
desvenlafaxine,Anxiety,7.1,182
Keppra,Seizures,5.7,182
Phillips' Milk of Magnesia,Constipation,8.4,181
Xyzal,Allergies,4.6,181
insulin glargine,Diabetes (Type 2),4.6,181
Depakote,Bipolar Disorder,6.2,180
lemborexant,Insomnia,4.2,180
fentanyl,Pain,8.2,179
Dupixent,Eczema,6.6,178
olmesartan,Hypertension,6.4,177
eletriptan,Migraine,8.3,176
Ubrelvy,Migraine,5.4,176
ubrogepant,Migraine,5.4,176
alprostadil,Erectile Dysfunction,7.1,174
diclofenac,Osteoarthritis,7.1,174
risperidone,Bipolar Disorder,6.1,174
rimegepant,Migraine,5.3,174
Reclast,Osteoporosis,5.1,174
bupropion,Anxiety,5.9,173
lamotrigine,Depression,7.2,172
Biktarvy,AIDS/HIV,6.9,171
bictegravir / emtricitabine / tenofovir alafenamide,AIDS/HIV,6.9,171
Nurtec ODT,Migraine,5.2,171
olanzapine,Depression,5,171
vardenafil,Erectile Dysfunction,8,170
morphine,Pain,8,170
Imitrex,Migraine,7.7,170
Dayvigo,Insomnia,4.2,170
Remeron,Depression,7,168
Cipro,UTI,5.6,167
methadone,Pain,8.7,166
Synvisc-One,Osteoarthritis,6,163
Dexilant,GERD (Heartburn),6.2,162
aripiprazole,Schizophrenia,5.8,162
oxcarbazepine,Bipolar Disorder,8,160
Ritalin,ADHD,6.9,160
pregabalin,Pain,6.6,160
Zyprexa,Bipolar Disorder,6.1,160
fluticasone,Hayfever,4.5,157
azelastine,Hayfever,6.8,155
dapagliflozin,Diabetes (Type 2),4.6,155
diethylpropion,Weight Loss,8.7,154
Voltaren Arthritis Pain Gel,Pain,7.1,154
Nexium,GERD (Heartburn),5.5,154
zolmitriptan,Migraine,7.4,153
Rybelsus,Diabetes (Type 2),5.7,153
Intuniv,ADHD,6.3,152
hydrochlorothiazide,Hypertension,5,151
phendimetrazine,Weight Loss,8.3,150
semaglutide,Weight Loss,6.7,150
teriparatide,Osteoporosis,5.1,149
Tri-Sprintec,Acne,5,149
Relpax,Migraine,8.6,148
levofloxacin,Pneumonia,5.5,148
clindamycin,Acne,7.4,146
brexpiprazole,Depression,7,146
lacosamide,Seizures,6.7,145
Forteo,Osteoporosis,5.2,145
hydroxychloroquine,Rheumatoid Arthritis,6.1,144
ramelteon,Insomnia,4,144
adalimumab,Rheumatoid Arthritis,6.1,141
minoxidil,Hair Loss,5.3,140
buprenorphine,Pain,6.3,139
lidocaine,Pain,4.6,139
clarithromycin,Bronchitis,5.3,138
ustekinumab,Psoriasis,8.2,137
azelastine / fluticasone,Hayfever,5.7,137
risperidone,Schizophrenia,5.3,137
l-methylfolate,Depression,7.6,136
Stelara,Psoriasis,8.3,135
Vimpat,Seizures,6.7,135
Humira,Rheumatoid Arthritis,6,135
Dymista,Hayfever,5.7,135
etanercept,Rheumatoid Arthritis,7.8,134
sitagliptin,Diabetes (Type 2),4.6,134
trimethoprim,UTI,3,134
topiramate,Bipolar Disorder,7,133
Rexulti,Depression,6.9,133
bupropion,ADHD,6.1,133
Zyrtec,Hayfever,5.2,133
gabapentin,Bipolar Disorder,8.3,132
valsartan,Hypertension,5.5,132
zaleplon,Insomnia,5.2,132
olanzapine,Schizophrenia,5.2,132
trazodone,Depression,6.6,131
Reglan,Migraine,3,131
phenelzine,Depression,8.6,130
Enbrel,Rheumatoid Arthritis,7.8,130
gabapentin,Insomnia,7.5,130
NP Thyroid,Hypothyroidism,3,129
trazodone,Anxiety,6.6,128
lurasidone,Schizophrenia,6.3,127
Focalin,ADHD,5.8,127
amitriptyline,Depression,8.1,126
atenolol,Hypertension,6.6,126
Nytol,Insomnia,4,126
Wegovy,Weight Loss,6.7,125
Januvia,Diabetes (Type 2),4.6,125
Farxiga,Diabetes (Type 2),4.5,125
ezetimibe,Cholesterol,3.6,125
Armour Thyroid,Hypothyroidism,6.6,124
Mydayis,ADHD,5.5,124
lorazepam,Insomnia,7.2,123
Genvoya,AIDS/HIV,7.2,122
cobicistat / elvitegravir / emtricitabine / tenofovir alafenamide,AIDS/HIV,7.2,122
Latuda,Schizophrenia,6.3,122
Silenor,Insomnia,6.2,122
methotrexate,Rheumatoid Arthritis,6,122
Breo Ellipta,Asthma,5.7,122
fluticasone / vilanterol,Asthma,5.7,122
Ultram,Pain,6,121
Maxalt,Migraine,8.7,120
abacavir / dolutegravir / lamivudine,AIDS/HIV,8.3,120
levofloxacin,Bronchitis,5.4,120
Triumeq,AIDS/HIV,8.3,119
nortriptyline,Pain,6.7,119
amphetamine,ADHD,6.4,119
gabapentin,Migraine,7.9,118
Claravis,Acne,8.2,116
adalimumab,Psoriasis,6.9,116
celecoxib,Pain,6.7,116
Epiduo Forte,Acne,7.2,115
simvastatin,Cholesterol,4.7,115
Humira,Psoriasis,6.9,114
tofacitinib,Rheumatoid Arthritis,5.2,114
diclofenac,Osteoarthritis,7.6,113
alirocumab,Cholesterol,5.6,113
Xenical,Weight Loss,8.3,112
Excedrin Migraine,Migraine,7.6,110
Benicar,Hypertension,7.2,109
Alli,Weight Loss,6,109
clonidine,Hypertension,5.8,109
Crestor,Cholesterol,5.7,109
Praluent,Cholesterol,5.7,109
tranylcypromine,Depression,8.3,108
fexofenadine,Hayfever,5.6,108
efavirenz / emtricitabine / tenofovir,AIDS/HIV,9.1,107
lamotrigine,Anxiety,7,107
fluticasone / umeclidinium / vilanterol,COPD,5.7,107
tramadol,Anxiety,9.3,106
Seroquel XR,Bipolar Disorder,7.2,106
Focalin XR,ADHD,7,106
carbamazepine,Bipolar Disorder,7,106
Trelegy Ellipta,COPD,5.8,106
alendronate,Osteoporosis,2.5,106
Wellbutrin SR,Depression,6.8,104
Restoril,Insomnia,6.8,104
Abilify,Schizophrenia,6.1,104
Atripla,AIDS/HIV,9.1,103
Nardil,Depression,8.4,103
naproxen,Pain,6.2,103
alprazolam,Depression,8.7,102
levomilnacipran,Depression,4.9,102
Rozerem,Insomnia,4.3,102
Voltaren Arthritis Pain Gel,Osteoarthritis,7,101
Flonase,Hayfever,4.5,100
sodium biphosphate / sodium phosphate,Constipation,8.8,99
Solodyn,Acne,6.9,99
Celebrex,Pain,6.9,99
carvedilol,Hypertension,4.1,99
Ambien CR,Insomnia,6.5,98
flurazepam,Insomnia,8.1,97
ramipril,Hypertension,5.8,97
Xeljanz,Rheumatoid Arthritis,5,97
naproxen / sumatriptan,Migraine,9,96
Bactrim,Acne,8.5,96
olanzapine,Insomnia,5.8,96
Invega,Schizophrenia,4.5,96
nifedipine,Hypertension,3.9,96
Zomig,Migraine,7,95
lansoprazole,GERD (Heartburn),6.5,95
Hysingla ER,Pain,4.1,95
Benzaclin,Acne,8.2,94
acyclovir,Herpes,8,94
meperidine,Pain,9.5,93
Dexedrine,ADHD,8.6,93
clonazepam,Bipolar Disorder,8.6,93
triamcinolone,Hayfever,5.8,93
irbesartan,Hypertension,4.4,93
mirabegron,Incontinence,4.4,93
famotidine,GERD (Heartburn),3.7,93
Invega Sustenna,Schizophrenia,3.6,93
Deplin,Depression,7.3,92
Norvasc,Hypertension,4,92
insulin glargine,Diabetes (Type 1),2.9,92
Euthyrox,Hypothyroidism,1.1,92
celecoxib,Osteoarthritis,7.1,91
Fetzima,Depression,4.7,91
Fleet Enema,Constipation,8.7,90
Stribild,AIDS/HIV,9.5,89
cobicistat / elvitegravir / emtricitabine / tenofovir,AIDS/HIV,9.5,89
Treximet,Migraine,9.1,89
Parnate,Depression,8.5,89
Synthroid,Hypothyroidism,6.3,89
Risperdal,Bipolar Disorder,6.4,88
loratadine,Hayfever,4.7,88
methotrexate,Psoriasis,8,87
Singulair,Hayfever,6,87
ibandronate,Osteoporosis,3.3,87
Retin-A,Acne,7.9,86
sucralfate,GERD (Heartburn),6.3,86
aspirin / caffeine,Pain,5.8,86
leflunomide,Rheumatoid Arthritis,5.2,86
pitavastatin,Cholesterol,5.6,85
Basaglar,Diabetes (Type 2),2.8,85
duloxetine,Pain,7.2,84
zonisamide,Seizures,5.2,84
abaloparatide,Osteoporosis,4.1,84
prochlorperazine,Anxiety,2.1,84
Flector Patch,Pain,7.2,83
bupropion,Bipolar Disorder,7,83
Lipitor,Cholesterol,4.6,83
aspirin / butalbital / caffeine,Migraine,8.8,82
clonidine,Anxiety,6.9,82
acetaminophen / hydrocodone,Rheumatoid Arthritis,4.6,82
Byetta,Diabetes (Type 2),7.9,81
ranolazine,Angina,7.1,81
Livalo,Cholesterol,5.5,81
candesartan,Hypertension,4.4,81
Tymlos,Osteoporosis,4.2,81
rituximab,Rheumatoid Arthritis,7.2,80
Myrbetriq,Incontinence,4.3,80
Celebrex,Osteoarthritis,7.1,79
telmisartan,Hypertension,5.3,79
nefazodone,Depression,9.4,77
allopurinol,Gout,7.4,77
quetiapine,Schizophrenia,6.9,77
Levaquin,Pneumonia,5.4,77
Zyprexa,Depression,5.3,77
hydralazine,Hypertension,2.7,77
Ziana,Acne,7.5,76
Levaquin,Bronchitis,5.3,76
Butrans,Pain,6.7,75
venlafaxine,Bipolar Disorder,6.6,75
hydrochlorothiazide / lisinopril,Hypertension,5.6,75
Unisom SleepTabs,Insomnia,5.6,75
insulin degludec,Diabetes (Type 1),3.9,75
hydrocodone / ibuprofen,Pain,8.6,74
oxybutynin,Incontinence,5.7,74
Tresiba,Diabetes (Type 1),3.9,74
Daytrana,ADHD,8.3,73
Nucynta ER,Pain,7.1,73
guaifenesin,Bronchitis,6.7,73
metformin / sitagliptin,Diabetes (Type 2),6,73
Boniva,Osteoporosis,3.3,73
triamcinolone,Osteoarthritis,5.5,72
Maxalt-MLT,Migraine,8.7,71
betamethasone / calcipotriene,Psoriasis,7,71
Plaquenil,Rheumatoid Arthritis,6.8,71
Sonata,Insomnia,5.7,71
Demerol,Pain,9.6,70
glimepiride,Diabetes (Type 2),6.6,70
levofloxacin,UTI,4.9,70
liothyronine,Hypothyroidism,6.3,69
upadacitinib,Rheumatoid Arthritis,5.9,69
diltiazem,Hypertension,5.1,69
sulfasalazine,Rheumatoid Arthritis,4.6,69
Zyprexa,Schizophrenia,5.6,67
risperidone,Anxiety,4.9,67
clobetasol,Psoriasis,8.8,66
modafinil,Depression,8.7,66
Ranexa,Angina,7,66
vilazodone,Anxiety,6.1,66
glipizide,Diabetes (Type 2),6.1,66
Rinvoq,Rheumatoid Arthritis,5.9,66
linagliptin,Diabetes (Type 2),3.6,66
prednisone,Asthma,7.2,65
cariprazine,Schizophrenia,6.1,65
Topamax,Weight Loss,6.8,64
Janumet,Diabetes (Type 2),6,64
mometasone,Hayfever,5.8,64
bupivacaine liposome,Pain,5.8,64
donepezil,Alzheimer's,4.8,64
capsaicin,Pain,4.8,64
methylphenidate,Depression,8.7,63
spironolactone,Hair Loss,6.9,63
esketamine,Depression,5.6,63
insulin degludec,Diabetes (Type 2),4.3,63
atropine / diphenoxylate,Diarrhea,8,62
diclofenac,Migraine,7.3,62
Diovan,Hypertension,6.6,62
avanafil,Erectile Dysfunction,5.7,62
Tresiba,Diabetes (Type 2),4.3,62
febuxostat,Gout,8.1,61
clonidine,ADHD,7.6,61
mepolizumab,Asthma,7.1,61
Singulair,Asthma,6.4,61
Sominex,Insomnia,6.4,61
levocetirizine,Hayfever,6.1,61
Allegra,Hayfever,5.9,61
amlodipine / olmesartan,Hypertension,8.4,60
triazolam,Insomnia,8.2,60
hydroxyzine,Allergies,7.3,60
nortriptyline,Depression,6.3,60
Synvisc,Osteoarthritis,6.3,60
Monovisc,Osteoarthritis,5.8,60
amoxicillin / clavulanate,UTI,5.7,60
Stendra,Erectile Dysfunction,5.6,60
pravastatin,Cholesterol,4.3,60
Tradjenta,Diabetes (Type 2),3.1,60
Azor,Hypertension,8.5,59
golimumab,Rheumatoid Arthritis,6.7,59
amlodipine / valsartan,Hypertension,5.8,59
Complera,AIDS/HIV,8.3,58
emtricitabine / rilpivirine / tenofovir,AIDS/HIV,8.3,58
Nucala,Asthma,7.1,58
escitalopram,Bipolar Disorder,6.5,58
acetaminophen,Pain,6.1,58
Basaglar,Diabetes (Type 1),1.8,58
Mobic,Osteoarthritis,8.1,57
Doryx,Acne,7.5,57
Acanya,Acne,7.3,57
umeclidinium / vilanterol,COPD,6.8,57
hydrochlorothiazide / losartan,Hypertension,6.3,57
lithium,Depression,6.1,57
Spravato,Depression,5.6,57
Exparel,Pain,5.6,57
ZzzQuil,Insomnia,3.1,57
Anoro Ellipta,COPD,6.8,56
fexofenadine / pseudoephedrine,Hayfever,6.6,56
doxycycline,Pneumonia,6.5,56
Cozaar,Hypertension,6.1,56
ziprasidone,Schizophrenia,6,56
Exforge,Hypertension,5.8,56
meloxicam,Rheumatoid Arthritis,5.7,56
Zetia,Cholesterol,4,56
risedronate,Osteoporosis,2.9,56
niacin,Depression,8.7,55
tetracycline,Acne,6.3,55
abatacept,Rheumatoid Arthritis,6.2,55
Vraylar,Schizophrenia,6,55
Muse,Erectile Dysfunction,5.3,55
paliperidone,Bipolar Disorder,4.8,55
Fosamax,Osteoporosis,2.4,55
oxazepam,Anxiety,8.5,54
clozapine,Schizophrenia,7.8,54
benzoyl peroxide / erythromycin,Acne,7.6,54
Gianvi,Acne,7.3,54
phenytoin,Seizures,7.3,54
clarithromycin,Pneumonia,7.1,54
acetaminophen / tramadol,Pain,6.9,54
Xyzal,Hayfever,6,54
Risperdal,Schizophrenia,5.4,54
Goody's Extra-Strength Headache Powders,Migraine,5.3,54
Sprix,Pain,7.3,53
sertraline,Bipolar Disorder,6.9,53
Adzenys XR-ODT,ADHD,6.1,53
Orencia,Rheumatoid Arthritis,6,53
memantine,Alzheimer's,4.5,53
Bydureon BCise,Diabetes (Type 2),4,53
ceftriaxone,UTI,9.2,52
methamphetamine,ADHD,8.8,52
rabeprazole,GERD (Heartburn),8.1,52
tazarotene,Acne,7.3,52
Seroquel XR,Depression,7.1,52
Cambia,Migraine,7,52
risperidone,Depression,5.1,52
frovatriptan,Migraine,9.1,51
butorphanol,Pain,8.4,51
atenolol,Anxiety,7.9,51
benzoyl peroxide,Acne,7.8,51
ibuprofen,Pain,7.6,51
Voltaren,Pain,7.5,51
naproxen,Osteoarthritis,6.7,51
amoxicillin / clavulanate,Bronchitis,6.5,51
Mucinex,Bronchitis,5.8,51
isosorbide mononitrate,Angina,3.9,51
Tirosint,Hypothyroidism,6.7,50
Protonix,GERD (Heartburn),6.5,50
amlodipine / benazepril,Hypertension,5.8,50
propranolol,Hypertension,5.5,50
pioglitazone,Diabetes (Type 2),4.6,50
naratriptan,Migraine,8.4,49
etodolac,Pain,7.6,49
pimecrolimus,Eczema,7.4,49
solifenacin,Incontinence,6.5,49
Supartz,Osteoarthritis,6.2,49
Zilretta,Osteoarthritis,5.7,49
insulin lispro,Diabetes (Type 1),3.2,49
Fiorinal,Migraine,8.5,48
moxifloxacin,Pneumonia,8.2,48
roflumilast,COPD,7.8,48
fluoxetine / olanzapine,Bipolar Disorder,7.7,48
Depakote ER,Bipolar Disorder,7.4,48
bisoprolol,Hypertension,6.8,48
niacin,Cholesterol,6,48
mometasone,Eczema,9,47
Pennsaid,Osteoarthritis,7.7,47
Edex,Erectile Dysfunction,7.6,47
budesonide / formoterol,COPD,7.5,47
asenapine,Schizophrenia,7.2,47
duloxetine,Bipolar Disorder,6.7,47
doxycycline,Bronchitis,5.1,47
spironolactone,Hypertension,4.9,47
Uloric,Gout,8.1,46
Symbicort,COPD,7.4,46
Elidel,Eczema,7.4,46
benralizumab,Asthma,6.9,46
Geodon,Schizophrenia,6.3,46
Nikki,Acne,5.2,46
Lomotil,Diarrhea,7.9,45
Daliresp,COPD,7.7,45
bupropion,Weight Loss,7.1,45
Loryna,Acne,5.7,45
hydrochlorothiazide / triamterene,Hypertension,5.6,45
clorazepate,Anxiety,9.1,44
Prevacid,GERD (Heartburn),7.8,44
Saphris,Schizophrenia,7.5,44
diclofenac,Rheumatoid Arthritis,6.6,44
Seroquel,Schizophrenia,6.5,44
lumateperone,Bipolar Disorder,5.6,44
azilsartan medoxomil,Hypertension,5,44
MS Contin,Pain,8.3,43
codeine,Pain,7.2,43
Fasenra,Asthma,7,43
tirzepatide,Diabetes (Type 2),5.6,43
prednisone,Rheumatoid Arthritis,8.1,42
cyclobenzaprine,Migraine,7.7,42
Veltin,Acne,7.4,42
doxepin,Anxiety,6.9,42
clomipramine,Depression,6.8,42
Simponi,Rheumatoid Arthritis,6.7,42
Caplyta,Bipolar Disorder,5.6,42
Mounjaro,Diabetes (Type 2),5.6,42
cefdinir,Bronchitis,4.5,42
Frova,Migraine,9,41
selegiline,Depression,8.1,41
modafinil,ADHD,7.5,41
Voltaren,Osteoarthritis,7.4,41
Metadate CD,ADHD,7.1,41
VESIcare,Incontinence,6.6,41
Zonegran,Seizures,6.3,41
brexpiprazole,Schizophrenia,5.6,41
Edarbi,Hypertension,4.9,41
metoclopramide,GERD (Heartburn),4.1,41
armodafinil,Depression,8.3,40
Duragesic,Pain,8.3,40
Lomaira,Weight Loss,7.6,40
Dilantin,Seizures,7.4,40
amoxicillin,UTI,6.8,40
Zithromax,Bronchitis,5.9,40
duloxetine,Osteoarthritis,5.9,40
insulin detemir,Diabetes (Type 2),5.7,40
Actos,Diabetes (Type 2),4.9,40
perindopril,Hypertension,4.8,40
lumateperone,Schizophrenia,4.8,40
Rogaine,Hair Loss,4.6,40
Claritin,Hayfever,3.5,40
nefazodone,Anxiety,9.3,39
Avelox,Pneumonia,8.2,39
Taclonex,Psoriasis,7.8,39
Cytomel,Hypothyroidism,6.9,39
hyoscyamine / methenamine / methylene blue / phenyl salicylate / sodium biphosphate,UTI,6.3,39
methyl salicylate,Osteoarthritis,6.2,39
Levaquin,UTI,5.6,39
Caplyta,Schizophrenia,4.7,39
Milk of Magnesia,Constipation,8.7,38
Symbyax,Bipolar Disorder,7.9,38
doxycycline,UTI,6.6,38
Salonpas Pain Patch,Osteoarthritis,6.1,38
ketamine,Pain,6,38
azithromycin,Pneumonia,6,38
Micardis,Hypertension,5.6,38
Avapro,Hypertension,5.2,38
prednisone,Eczema,7.5,37
infliximab,Rheumatoid Arthritis,7.2,37
camphor / menthol,Pain,7.1,37
drospirenone / ethinyl estradiol / levomefolate calcium,Acne,7,37
Prilosec,GERD (Heartburn),6.7,37
Toprol-XL,Hypertension,6.3,37
oxcarbazepine,Anxiety,6,37
Rexulti,Schizophrenia,5.1,37
insulin lispro,Diabetes (Type 2),4.4,37
Aciphex,GERD (Heartburn),9.3,36
Elocon,Eczema,9,36
sulfacetamide sodium/sulfur,Acne,7.5,36
Ativan,Insomnia,7.4,36
Breo Ellipta,COPD,6.9,36
fluticasone / vilanterol,COPD,6.9,36
trolamine salicylate,Pain,6.6,36
Dulera,Asthma,6,36
formoterol / mometasone,Asthma,6,36
Correctol,Constipation,5.3,36
Tri-Previfem,Acne,5.2,36
Desoxyn,ADHD,9.4,35
Atralin,Acne,8.1,35
chlordiazepoxide,Anxiety,7.7,35
azelaic acid,Acne,7.4,35
cyproheptadine,Migraine,6.8,35
fluvoxamine,Depression,6.6,35
Uribel,UTI,6.3,35
empagliflozin / metformin,Diabetes (Type 2),6,35
acitretin,Psoriasis,5.6,35
Levemir,Diabetes (Type 2),5.5,35
loratadine / pseudoephedrine,Hayfever,3.6,35
oxcarbazepine,Seizures,7.5,34
Beyaz,Acne,7.3,34
Remicade,Rheumatoid Arthritis,7.3,34
calcipotriene,Psoriasis,6.5,34
Cymbalta,Osteoarthritis,6.3,34
bisoprolol / hydrochlorothiazide,Hypertension,5.9,34
docusate,Constipation,5.8,34
meloxicam,Pain,4.3,34
almotriptan,Migraine,9,33
Onexton,Acne,8.6,33
loperamide,Diarrhea,8.1,33
Evekeo,ADHD,6.9,33
dihydroergotamine,Migraine,6.8,33
Augmentin,Bronchitis,6.5,33
olodaterol / tiotropium,COPD,6.1,33
chlorthalidone,Hypertension,3.8,33
